Date	South	South.LCL	South.UCL	North	North.LCL	North.UCL	South.7	North.7	North.Variant	South.Variant	death	deathConfirmed	deathIncrease	deathProbable	hospitalized	hospitalizedCumulative	hospitalizedCurrently	hospitalizedIncrease	inIcuCurrently	negative	negativeIncrease	onVentilatorCurrently	positive	positiveCasesViral	positiveIncrease	positiveScore	positiveTestsPeopleAntibody	positiveTestsViral	recovered	totalTestEncountersViralIncrease	totalTestResults	totalTestResultsIncrease	totalTestsPeopleAntibody	totalTestsPeopleAntigen	totalTestsPeopleViral	totalTestsPeopleViralIncrease	totalTestsViral	totalTestsViralIncrease
2021-01-01	733	473	692	879	232	339	149	219			12423	12157	0	266	16098	16098	2271	0	417	3658165	0	240	375178	359445	0	0	12915	437155	261672	0	10944699	0	140254	360840	4017610	0	10944699	0
2021-01-02	820	367	736	829	259	379	116	169			12502	12236	79	266	16098	16098	2280	0	412	3679369	21204	246	384181	367987	9003	0	12915	446675	261672	0	11046093	101394	140254	366370	4047356	29746	11046093	101394
2021-01-03	1120	395	885	707	354	517	125	183			12610	12341	108	269	16098	16098	2291	0	416	3687911	8542	258	387662	371097	3481	0	12915	450251	261672	0	11090924	44831	140254	370296	4059008	11652	11090924	44831
2021-01-04	1154	546	931	615	365	533	172	252			12671	12401	61	270	16098	16098	2339	0	423	3698749	10838	258	392568	375455	4906	0	12915	455201	261672	0	11146494	55570	140254	374565	4074204	15196	11146494	55570
2021-01-05	972	942	925	632	307	449	298	435			12734	12464	63	270	16098	16098	2428	0	425	3710339	11590	264	397202	379633	4634	0	12915	459850	261672	0	11206212	59718	140254	379103	4089972	15768	11206212	59718
2021-01-06	1323	1061	974	605	418	611	335	490			12836	12563	102	273	16098	16098	2416	0	442	3725378	15039	281	404053	386052	6851	0	12915	467138	261672	0	11308785	102573	140254	383427	4111430	21458	11308785	102573
2021-01-07	1061	1051	1008	630	335	490	332	485			12909	12634	73	275	16603	16603	2386	505	455	3743466	18088	277	411601	393188	7548	0	13123	474982	293522	0	11417197	108412	141687	387433	4136654	25224	11417197	108412
2021-01-08	1747	1329	1141	730	552	807	420	614			12985	12708	76	277	16603	16603	2311	0	440	3762340	18874	280	419721	400823	8120	0	13123	483506	293522	0	11525766	108569	141687	392437	4163163	26509	11525766	108569
2021-01-09	1803	1411	1278	885	570	833	446	652			13074	12798	89	276	16603	16603	2291	0	445	3780520	18180	280	427135	407933	7414	0	13123	491419	293522	0	11635559	109793	141687	396117	4188453	25290	11635559	109793
2021-01-10	1717	1180	1358	1034	543	793	373	545			13151	12875	77	276	16603	16603	2225	0	459	3795377	14857	282	432791	413329	5656	0	13123	497572	293522	0	11717313	81754	141687	399660	4208706	20253	11717313	81754
2021-01-11	2069	1013	1476	1130	654	956	320	468			13206	12929	55	277	16603	16603	2211	0	451	3808039	12662	285	437042	417568	4251	0	13123	502356	293522	0	11774727	57414	141687	401034	4225607	16901	11774727	57414
2021-01-12	902	920	1460	1126	285	417	291	425			13273	12996	67	277	16603	16603	2219	0	451	3822100	14061	271	442529	422474	5487	0	13123	507881	293522	0	11844709	69982	141687	406242	4244574	18967	11844709	69982
2021-01-13	1122	983	1426	1114	354	518	311	454			13359	13082	86	277	17109	17109	2200	506	461	3837617	15517	286	448447	427752	5918	0	13123	513918	293522	0	11944985	100276	141687	411710	4265369	20795	11944985	100276
2021-01-14	943	951	1403	1098	298	436	300	439			13433	13156	74	277	17109	17109	2226	0	454	3854115	16498	294	454402	433297	5955	0	13369	520263	324203	0	12046398	101413	143396	415649	4287412	22043	12046398	101413
2021-01-15	750	1112	1243	1071	237	347	351	514			13509	13231	76	278	17109	17109	2201	0	451	3870651	16536	293	459927	438371	5525	0	13369	526114	324203	0	12147366	100968	143396	421870	4309022	21610	12147366	100968
2021-01-16	971	672	1138	963	307	449	212	310			13583	13305	74	278	17109	17109	2197	0	433	3890048	19397	294	465726	444028	5799	0	13369	532622	324203	0	12259486	112120	143396	425322	4334076	25054	12259486	112120
2021-01-17	959	581	1047	870	303	443	184	269			13652	13372	69	280	17109	17109	2165	0	433	3905525	15477	288	470140	448311	4414	0	13369	537842	324203	0	12348663	89177	143396	427115	4353836	19760	12348663	89177
2021-01-18	1141	603	962	808	360	527	191	279			13705	13424	53	281	17109	17109	2206	0	427	3916329	10804	288	473441	451535	3301	0	13369	541576	324203	0	12398580	49917	143396	428059	4367864	14028	12398580	49917
2021-01-19	1255	966	1008	814	396	580	305	446			13749	13469	44	280	17109	17109	2213	0	432	3927237	10908	277	476526	454102	3085	0	13369	544670	324203	0	12454145	55565	143396	432942	4381339	13475	12454145	55565
2021-01-20	619	422	926	721	196	286	134	195			13829	13547	80	282	17556	17556	2209	447	444	3940163	12926	299	481040	458089	4514	0	13369	549371	324203	0	12536712	82567	143396	437602	4398252	16913	12536712	82567
2021-01-21	494	591	844	674	156	228	187	273			13906	13622	77	284	17556	17556	2152	0	430	3956227	16064	287	486180	462910	5140	0	13369	555016	324203	0	12648438	111726	143396	442175	4419137	20885	12648438	111726
2021-01-22	670	690	831	629	212	310	218	319			13987	13702	81	285	17556	17556	2098	0	426	3973073	16846	282	491452	467845	5272	0	13695	560724	354388	0	12754206	105768	145958	445881	4440918	21781	12754206	105768
2021-01-23	1085	866	844	653	343	501	274	400			14064	13777	77	287	17556	17556	2055	0	418	3988109	15036	291	496093	472175	4641	0	13695	565771	354388	0	12866597	112391	145958	450046	4460284	19366	12866597	112391
2021-01-24	1777	663	922	665	561	821	210	306			14133	13844	69	289	17556	17556	1946	0	409	4002160	14051	286	500037	475925	3944	0	13695	570238	354388	0	12967924	101327	145958	453187	4478085	17801	12967924	101327
2021-01-25	3772	631	1094	669	1192	1743	199	291			14178	13889	45	289	17556	17556	1955	0	418	4015048	12888	285	503688	479402	3651	0	13695	574385	354388	0	13046574	78650	145958	455076	4494450	16365	13046574	78650
2021-01-26	708	290	1008	564	224	327	92	134			14220	13930	42	290	17556	17556	1951	0	431	4024375	9327	278	506183	481617	2495	0	13695	576989	354388	0	13096275	49701	145958	458143	4505992	11542	13096275	49701
2021-01-27	269	350	894	549	85	124	111	162			14304	14013	84	291	18008	18008	1930	452	418	4036752	12377	270	509503	484639	3320	0	13695	580673	354388	0	13192478	96203	145958	461885	4521391	15399	13192478	96203
2021-01-28	747	421	949	523	236	345	133	195			14348	14056	44	292	18008	18008	1878	0	442	4052150	15398	255	514134	488861	4631	0	13999	585540	389717	0	13309441	116963	147875	466795	4541011	19620	13309441	116963
2021-01-29	706	329	956	470	223	326	104	152			14444	14154	96	290	18008	18008	1789	0	412	4063855	11705	248	517252	491642	3118	0	13999	588725	389717	0	13395638	86197	147875	470635	4555497	14486	13395638	86197
2021-01-30	465	490	847	434	147	215	155	226			14531	14241	87	290	18008	18008	1739	0	393	4080300	16445	239	521360	495599	4108	0	13999	593486	389717	0	13538980	143342	147875	473061	4575899	20402	13538980	143342
2021-01-31	444	397	695	403	140	205	125	183			14577	14287	46	290	18008	18008	1676	0	371	4092188	11888	231	524025	498145	2665	0	13999	596510	389717	0	13632898	93918	147875	475368	4590333	14434	13632898	93918
2021-02-01	499	363	520	372	158	231	115	168			14607	14317	30	290	18008	18008	1676	0	373	4103409	11221	222	526423	500415	2398	0	13999	599434	389717	0	13721200	88302	147875	476976	4603824	13491	13721200	88302
2021-02-02	422	274	483	369	133	195	87	127			14652	14362	45	290	18008	18008	1631	0	353	4111673	8264	224	528662	502378	2239	0	13999	601762	389717	0	13782465	61265	147875	480992	4614051	10227	13782465	61265
2021-02-03	360	283	504	358	114	166	89	131			14708	14415	56	293	18402	18402	1635	394	335	4120902	9229	203	531117	504564	2455	0	13999	604434	389717	0	13874158	91693	147875	484563	4625466	11415	13874158	91693
2021-02-04	360	249	454	332	114	166	79	115			14784	14489	76	295	18402	18402	1554	0	335	4129655	8753	208	533921	507166	2804	0	14275	607390	425717	0	13955444	81286	149467	487573	4636821	11355	13955444	81286
2021-02-05	270	366	396	338	85	125	116	169			14859	14563	75	296	18402	18402	1503	0	322	4142263	12608	196	537208	510148	3287	0	14275	610865	425717	0	14082912	127468	149467	491939	4652411	15590	14082912	127468
2021-02-06	519	434	402	332	164	240	137	200			14921	14622	62	299	18402	18402	1451	0	310	4154113	11850	189	540827	513526	3619	0	14275	614847	425717	0	14212421	129509	149467	496324	4667639	15228	14212421	129509
2021-02-07	750	295	433	318	237	346	93	136			14999	14698	78	301	18402	18402	1389	0	318	4166477	12364	191	543934	516530	3107	0	14275	618310	425717	0	14325516	113095	149467	497964	4683007	15368	14325516	113095
2021-02-08	492	412	432	324	155	227	130	190			15054	14753	55	301	18402	18402	1387	0	329	4172254	5777	188	545303	517806	1369	0	14275	619858	425717	0	14368462	42946	149467	500166	4690060	7053	14368462	42946
2021-02-09	347	315	420	330	110	160	100	146			15124	14821	70	303	18402	18402	1401	0	324	4178170	5916	191	546896	519125	1593	0	14275	621401	425717	0	14420574	52112	149467	503752	4697295	7235	14420574	52112
2021-02-10	213	225	390	320	67	98	71	104			15207	14903	83	304	18859	18859	1358	457	309	4187507	9337	183	548946	521045	2050	0	14275	623666	425717	0	14520845	100271	149467	506940	4708552	11257	14520845	100271
2021-02-11	471	382	405	340	149	218	121	177			15269	14964	62	305	18859	18859	1313	0	304	4198141	10634	185	551396	523258	2450	0	14572	626284	453740	0	14631637	110792	151476	509874	4721399	12847	14631637	110792
2021-02-12	286	358	409	339	90	132	113	165			15358	15051	89	307	18859	18859	1223	0	300	4208973	10832	180	553812	525486	2416	0	14572	628806	453740	0	14737744	106107	151476	512923	4734459	13060	14737744	106107
2021-02-13	265	285	371	319	84	123	90	131			15424	15116	66	308	18859	18859	1149	0	291	4219058	10085	196	555895	527435	2083	0	14572	631088	453740	0	14837659	99915	151476	516146	4746493	12034	14837659	99915
2021-02-14	543	283	355	317	172	251	89	131			15484	15176	60	308	18859	18859	1125	0	290	4229308	10250	183	557777	529255	1882	0	14572	633210	453740	0	14948553	110894	151476	518763	4758563	12070	14948553	110894
2021-02-15	500	155	355	276	158	231	49	72			15517	15208	33	309	18859	18859	1107	0	286	4237896	8588	174	559350	530735	1573	0	14572	634991	453740	0	15011405	62852	151476	520326	4768631	10068	15011405	62852
2021-02-16	663	190	390	257	210	306	60	88			15567	15257	50	310	18859	18859	1096	0	275	4242966	5070	177	560576	531702	1226	0	14572	636172	453740	0	15057893	46488	151476	524006	4774668	6037	15057893	46488
2021-02-17	326	232	414	258	103	151	73	107			15623	15312	56	311	19176	19176	1088	317	273	4249632	6666	179	561936	533024	1360	0	14572	637799	453740	0	15140864	82971	151476	527202	4782656	7988	15140864	82971
2021-02-18	476	412	415	261	150	220	130	190			15686	15373	63	313	19176	19176	1029	0	271	4258278	8646	173	563976	534827	2040	0	14895	639875	477796	0	15240866	100002	153152	530569	4793105	10449	15240866	100002
2021-02-19	256	579	408	279	81	118	183	268			15726	15409	40	317	19176	19176	990	0	258	4267078	8800	163	565794	536506	1818	0	14895	641849	477796	0	15347522	106656	153152	533272	4803584	10479	15347522	106656
2021-02-20	318	182	419	262	101	147	58	84			15779	15462	53	317	19176	19176	970	0	246	4276228	9150	152	567764	538328	1970	0	14895	643953	477796	0	15462524	115002	153152	535624	4814556	10972	15462524	115002
2021-02-21	848	308	447	265	268	392	97	142			15826	15508	47	318	19176	19176	927	0	234	4284944	8716	153	569284	539644	1520	0	14895	645482	477796	0	15549944	87420	153152	539089	4824588	10032	15549944	87420
2021-02-22	687	386	468	302	217	318	122	178			15853	15534	27	319	19176	19176	888	0	229	4292030	7086	140	570546	540794	1262	0	14895	646850	477796	0	15599873	49929	153152	541220	4832824	8236	15599873	49929
2021-02-23	279	163	413	295	88	129	52	75			15883	15564	30	319	19176	19176	879	0	225	4299958	7928	147	571783	541908	1237	0	14895	648142	477796	0	15662404	62531	153152	543942	4841866	9042	15662404	62531
2021-02-24	306	260	409	300	97	141	82	120			15945	15624	62	321	19444	19444	875	268	219	4311159	11201	151	573885	543696	2102	0	14895	650220	477796	0	15776531	114127	153152	548242	4854855	12989	15776531	114127
2021-02-25	159	193	350	269	50	73	61	89			15978	15657	33	321	19444	19444	853	0	221	4322172	11013	142	575993	545624	2108	0	15162	652400	494740	0	15894675	118144	154697	551474	4867796	12941	15894675	118144
2021-02-26	135	124	320	216	43	62	39	57			16024	15703	46	321	19444	19444	807	0	211	4331641	9469	137	577980	547358	1987	0	15162	654425	494740	0	15997259	102584	154697	554801	4878999	11203	15997259	102584
2021-02-27	385	243	328	225	122	178	77	112			16067	15744	43	323	19444	19444	785	0	204	4340080	8439	139	579680	548874	1700	0	15162	656217	494740	0	16105520	108261	154697	557826	4888954	9955	16105520	108261
2021-02-28	356	211	290	213	113	165	67	97			16118	15796	51	322	19444	19444	760	0	183	4348539	8459	124	581148	550302	1468	0	15162	657840	494740	0	16208091	102571	154697	559897	4898841	9887	16208091	102571
2021-03-01	409	251	269	201	129	189	79	116			16144	15822	26	322	19444	19444	788	0	184	4355357	6818	119	582543	551550	1395	0	15162	659307	494740	0	16261930	53839	154697	561797	4906907	8066	16261930	53839
2021-03-02	270	218	268	209	85	125	69	101			16182	15859	38	323	19444	19444	775	0	187	4362966	7609	116	582844	551667	301	0	15162	659584	494740	0	16317937	56007	154697	564788	4914633	7726	16317937	56007
2021-03-03	291	279	266	211	92	135	88	129			16252	15925	70	327	19713	19713	755	269	173	4371477	8511	109	584743	553220	1899	0	15162	661370	494740	0	16419989	102052	154697	568678	4924697	10064	16419989	102052
2021-03-04	797	332	335	228	252	368	105	153			16296	15967	44	329	19713	19713	741	0	168	4380031	8554	100	586310	554630	1567	0	15425	662972	508745	0	16522351	102362	156185	571445	4934661	9964	16522351	102362
2021-03-05	417	287	394	257	132	193	91	133			16322	15992	26	330	19713	19713	716	0	180	4388938	8907	109	588209	556307	1899	0	15425	664893	508745	0	16628614	106263	156185	574434	4945245	10584	16628614	106263
2021-03-06	352	190	389	248	111	163	60	88			16374	16044	52	330	19713	19713	687	0	176	4396764	7826	114	589931	557802	1722	0	15425	666605	508745	0	16728973	100359	156185	578153	4954566	9321	16728973	100359
2021-03-07	307	191	381	245	97	142	60	88			16417	16085	43	332	19713	19713	665	0	174	4404792	8028	116	591356	559083	1425	0	15425	668145	508745	0	16825551	96578	156185	580372	4963875	9309	16825551	96578
