PostFile	PostDate	PostComments	PostHits	HitsStart	HitsEnd
2022-05-03-how-evusheld-works.md	2022-05-03	0	1232	2021-07-15	2023-01-01
2022-05-06-pancoronavirus-landscape.md	2022-05-06	0	86	2021-07-15	2023-01-01
2022-05-08-highest-vax-group-in-us-redux.md	2022-05-08	0	109	2021-07-15	2023-01-01
2022-05-10-unvax-compassion.md	2022-05-10	0	88	2021-07-15	2023-01-01
2022-05-11-vax-which-arm.md	2022-05-11	0	85	2021-07-15	2023-01-01
2022-05-12-moderna-2022-q1-earnings-call.md	2022-05-12	0	147	2021-07-15	2023-01-01
2022-05-13-in-your-heart.md	2022-05-13	0	125	2021-07-15	2023-01-01
2022-05-18-million-us-dead.md	2022-05-18	0	124	2021-07-15	2023-01-01
2022-05-19-waste-russian-govt-time.md	2022-05-19	0	153	2021-07-15	2023-01-01
2022-05-20-ivermectin-gag-order.md	2022-05-20	0	92	2021-07-15	2023-01-01
2022-05-21-get-paxlovid-ma.md	2022-05-21	0	89	2021-07-15	2023-01-01
2022-05-22-greens-asymmetry.md	2022-05-22	2	226	2021-07-15	2023-01-01
2022-05-25-japan-covid-success.md	2022-05-25	0	121	2021-07-15	2023-01-01
2022-05-28-chocolate-giraffe.md	2022-05-28	0	115	2021-07-15	2023-01-01
2022-05-30-memorial-day-2022.md	2022-05-30	0	128	2021-07-15	2023-01-01
2022-06-01-upcoming-vrbpac.md	2022-06-01	0	92	2021-07-15	2023-01-01
2022-06-02-paxlovid-in-the-wild.md	2022-06-02	0	190	2021-07-15	2023-01-01
2022-06-03-covid-immunity-prevalence.md	2022-06-03	0	118	2021-07-15	2023-01-01
2022-06-07-fda-novavax.md	2022-06-07	0	120	2021-07-15	2023-01-01
2022-06-08-moderna-omicron.md	2022-06-08	0	95	2021-07-15	2023-01-01
2022-06-12-conspiracy-life.md	2022-06-12	0	220	2021-07-15	2023-01-01
2022-06-16-county-vax-rates.md	2022-06-16	0	72	2021-07-15	2023-01-01
2022-06-17-philosophers-in-bar.md	2022-06-17	0	91	2021-07-15	2023-01-01
2022-06-21-npi-efficacy.md	2022-06-21	0	90	2021-07-15	2023-01-01
2022-06-22-paris-in-the-20s.md	2022-06-22	0	102	2021-07-15	2023-01-01
2022-06-23-long-covid-biomarkers.md	2022-06-23	0	116	2021-07-15	2023-01-01
2022-06-24-mower-battery-surgery.md	2022-06-24	2	144	2021-07-15	2023-01-01
2022-06-28-fda-vrbpac-variant-boosters.md	2022-06-28	0	204	2021-07-15	2023-01-01
2022-07-01-two-years-retired.md	2022-07-01	4	134	2021-07-15	2023-01-01
2022-07-08-scotus-atrocities-2022.md	2022-07-08	0	114	2021-07-15	2023-01-01
2022-07-12-most-infectious-disease.md	2022-07-12	2	145	2021-07-15	2023-01-01
2022-07-20-onion-fences.md	2022-07-20	2	146	2021-07-15	2023-01-01
2022-07-21-while-the-world-burns.md	2022-07-21	0	88	2021-07-15	2023-01-01
2022-07-25-testing-positive.md	2022-07-25	2	201	2021-07-15	2023-01-01
2022-07-26-paxlovid-day-1.md	2022-07-26	2	109	2021-07-15	2023-01-01
2022-07-27-paxlovid-day-2.md	2022-07-27	0	101	2021-07-15	2023-01-01
2022-07-29-paxlovid-day-3-4.md	2022-07-29	0	96	2021-07-15	2023-01-01
2022-07-30-paxlovid-day-5.md	2022-07-30	0	84	2021-07-15	2023-01-01
2022-08-02-paxlovid-day-8.md	2022-08-02	0	78	2021-07-15	2023-01-01
2022-08-04-covid-rebound.md	2022-08-04	2	338	2021-07-15	2023-01-01
2022-08-05-covid-unemployment.md	2022-08-05	0	91	2021-07-15	2023-01-01
2022-08-08-positive-thinking.md	2022-08-08	0	91	2021-07-15	2023-01-01
2022-08-09-covid-day-15.md	2022-08-09	0	69	2021-07-15	2023-01-01
2022-08-11-covid-day-17.md	2022-08-11	2	102	2021-07-15	2023-01-01
2022-08-15-covid-day-21.md	2022-08-15	0	57	2021-07-15	2023-01-01
2022-08-19-covid-day-25.md	2022-08-19	0	71	2021-07-15	2023-01-01
2022-08-23-covid-1-month-later.md	2022-08-23	2	122	2021-07-15	2023-01-01
2022-08-29-authoritarian-cops.md	2022-08-29	2	173	2021-07-15	2023-01-01
2022-08-31-fda-bivalent-omicron-eua.md	2022-08-31	0	486	2021-07-15	2023-01-01
2022-09-04-covid-index-post.md	2022-09-04	0	144	2021-07-15	2023-01-01
2022-09-06-n-abs-severe-covid-19.md	2022-09-06	2	76	2021-07-15	2023-01-01
2022-09-10-timing-bivalent-boosters.md	2022-09-10	0	145	2021-07-15	2023-01-01
2022-09-19-talk-pirate-2022.md	2022-09-19	0	67	2021-07-15	2023-01-01
2022-09-20-twitter-poll-repro.md	2022-09-20	0	104	2021-07-15	2023-01-01
2022-09-23-topol-variants.md	2022-09-23	4	130	2021-07-15	2023-01-01
2022-09-26-petrov-day-2022.md	2022-09-26	0	63	2021-07-15	2023-01-01
2022-10-07-japan-2022.md	2022-10-07	0	166	2021-07-15	2023-01-01
2022-10-18-covid-antivirals-rwd.md	2022-10-18	0	159	2021-07-15	2023-01-01
2022-10-24-paxlovid-in-the-wild-peer-reviewed.md	2022-10-24	0	66	2021-07-15	2023-01-01
2022-10-26-voted-2022.md	2022-10-26	0	102	2021-07-15	2023-01-01
2022-11-02-two-things-i-dont-understand.md	2022-11-02	0	74	2021-07-15	2023-01-01
2022-11-05-why-vote-2022.md	2022-11-05	0	65	2021-07-15	2023-01-01
2022-11-07-today-i-got-shot-12th-time.md	2022-11-07	0	79	2021-07-15	2023-01-01
2022-11-09-paabo-nobel.md	2022-11-09	0	56	2021-07-15	2023-01-01
2022-11-12-some-covid-good-news.md	2022-11-12	2	79	2021-07-15	2023-01-01
2022-11-19-detwitterfying.md	2022-11-19	0	62	2021-07-15	2023-01-01
2022-11-21-weekend-editrix-bivalent-flu-shots.md	2022-11-21	0	70	2021-07-15	2023-01-01
2022-11-27-classy-japanese-world-cup-2022.md	2022-11-27	0	47	2021-07-15	2023-01-01
2022-11-28-comments-disabled-via-heroku.md	2022-11-28	0	63	2021-07-15	2023-01-01
2022-12-05-two-trolley-problems.md	2022-12-05	0	97	2021-07-15	2023-01-01
